atrip;AActT;AcessMetroResid;aChildren;ATTD;ATTT;AvCar;DCBD;ElderRetired;Family;ParkingOrigin;Personal;Shop;TCPass;Work
2.55;7.204;837.2;0.5;10.657;81.25;0.3;4.206;0.45;0;0.526;0;0.15;0.3;0.85
2.292;5.951;395.583;0.458;11.524;87.333;0.375;5.243;0.708;0.042;0.403;0;0.167;0.458;0.625
2.571;5.457;309.679;0.786;15.926;90.214;0.321;3.567;0.643;0.036;0.477;0.036;0.25;0.5;0.571
2.902;6.25;266.756;0.537;10.983;65.268;0.415;1.149;0.707;0;0.715;0.073;0.22;0.293;0.683
2.217;7.066;335.13;0.783;9.926;61.043;0.565;1.687;0.217;0.043;0.218;0.087;0.043;0.304;0.783
2.886;6.307;294.614;0.643;12.362;71.143;0.3;1.605;0.514;0.029;0.643;0.1;0.171;0.486;0.671
2.75;7.313;842.917;1.458;10.875;105.833;0.208;4.391;0.125;0;0.22;0.042;0.208;0.75;0.667
2.944;7.56;457.028;0.806;13.638;110.694;0.278;5.05;0.361;0;0.288;0.167;0.083;0.528;0.75
2.636;7.315;1502.197;1.061;15.192;104.364;0.197;4.753;0.318;0;0.22;0.121;0.106;0.591;0.773
3;7.991;1841.286;0.75;14.508;70.357;0.536;4.893;0.286;0;0.249;0.143;0.107;0.321;0.75
3.154;8.122;1632.154;0.846;19.725;93.077;0.769;5.483;0.077;0;0.405;0.077;0.077;0.154;0.846
2.931;5.711;1132.724;0.655;15.071;103.345;0.31;5.147;0.483;0.034;0.428;0.103;0.172;0.345;0.621
2.531;6.212;849;0.49;11.165;83.224;0.327;4.72;0.571;0;0.65;0.122;0.224;0.653;0.653
2.617;5.434;1096.277;0.553;11.196;78.319;0.319;4.311;0.426;0.043;0.505;0.106;0.191;0.574;0.66
2.692;6.819;1486.974;0.872;10.257;99.077;0.231;4.143;0.564;0.026;0.19;0.128;0.154;0.667;0.692
2;9.333;2203;0;6.427;30;0;4.015;0;0;0.217;0;0;1;1
2;8.194;860;0.667;6.712;58.333;0;2.952;0.333;0;0.072;0.333;0;1;0.333
3;5.042;858;0.5;7.261;100;0;3.271;1;0;0.068;0;0;0.5;0.5
2.5;4;776.25;0.25;34.268;112.5;0.5;3.891;0.5;0;0.742;0.25;0.25;0.25;0.5
2.708;7.376;405.979;1.292;8.723;87.208;0.208;2.659;0.188;0.042;0.081;0.083;0.146;0.833;0.708
2.451;6.917;374.255;1.392;10.503;80.941;0.176;2.89;0.431;0;0.086;0.176;0.137;0.647;0.667
2.739;7.127;377.239;0.67;13.068;89.341;0.261;1.859;0.432;0.045;0.218;0.182;0.08;0.58;0.693
2.667;5.705;264.286;1.048;13.041;58.762;0.357;1.114;0.429;0;0.876;0.071;0.238;0.262;0.643
2.8;5.965;299.4;0.786;8.396;60.086;0.414;0.536;0.471;0;0.91;0.143;0.171;0.257;0.657
2.983;7.153;383.186;0.576;8.122;60.356;0.271;0.677;0.61;0.034;0.739;0.102;0.22;0.39;0.576
3.076;7.371;276.696;0.646;8.962;68.139;0.342;1.061;0.304;0.013;0.726;0.025;0.19;0.304;0.772
2.765;6.376;368.956;0.397;8.111;70.765;0.235;1.446;0.412;0;0.653;0.074;0.25;0.426;0.662
3.313;7.419;321.5;0.563;12.261;80;0.333;0.769;0.354;0;0.661;0.063;0.188;0.417;0.75
2.667;6.314;207.042;0.354;7.792;72.604;0.188;1.835;0.583;0;0.591;0.146;0.208;0.396;0.646
2.615;6.433;275.372;0.551;8.318;66.346;0.218;1.419;0.795;0;0.77;0.154;0.128;0.538;0.667
2.836;6.676;422.049;0.541;7.024;69.344;0.426;0.943;0.475;0.016;0.806;0.098;0.164;0.311;0.705
2.978;6.408;313.022;0.696;9.286;77.565;0.261;2.62;0.304;0.043;0.324;0.13;0.109;0.37;0.696
3.167;6.485;598.372;0.5;9.683;80.962;0.167;2.391;0.436;0.013;0.301;0.09;0.244;0.5;0.628
2.918;6.922;326.425;0.603;12.275;77.342;0.288;1.723;0.575;0.014;0.495;0.205;0.151;0.466;0.616
2.488;6.108;336.524;0.878;8.094;59.817;0.134;2.165;0.463;0;0.207;0.146;0.159;0.476;0.671
2.865;6.287;400.241;0.752;11.635;86.383;0.188;2.688;0.624;0.015;0.282;0.105;0.203;0.459;0.632
2.757;5.626;358.978;0.478;9.019;69.441;0.221;2.769;0.618;0.022;0.316;0.162;0.235;0.441;0.522
3.108;6.954;418.108;0.865;9.218;71.541;0.378;1.515;0.405;0;0.486;0.054;0.27;0.405;0.676
3.098;7.085;249.122;0.439;10.1;75.78;0.341;2.031;0.293;0;0.218;0.171;0.244;0.415;0.561
2.679;8.177;642.357;0.393;8.297;71.821;0.357;1.559;0.571;0.036;0.333;0.143;0.071;0.357;0.714
2.674;7.262;716;0.581;9.439;87.279;0.279;2.622;0.581;0.023;0.049;0.07;0.14;0.581;0.744
2.489;6.843;1187;0.733;8.624;75.778;0.2;2.615;0.311;0;0.351;0.089;0.156;0.644;0.756
2.695;6.059;976.949;0.475;8.125;81.186;0.186;2.021;0.593;0.017;0.402;0.085;0.322;0.525;0.542
